,World,World,World,USA,USA,USA,Brazil,Brazil,Brazil,India,India,India,Russia,Russia,Russia,Peru,Peru,Peru,South Africa,South Africa,South Africa,Chile,Chile,Chile,Germany,Germany,Germany
,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,42,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,56,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,82,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,131,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,133,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,171,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,213,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,259,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,362,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,426,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,492,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,564,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,634,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,719,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,806,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,906,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,1013,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,1113,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,1118,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,1371,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,1523,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,1666,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,1770,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,1868,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,2008,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2123,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,2248,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,2252,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,2459,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,2470,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,2630,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,2710,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,2771,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,2814,,,,,,,,,,,,,,,,,,,,,,,,,,
